XuatXu,TinhTrang,DongXe,SoKmDaDi,MauNgoaiThat,MauNoiThat,SoCua,SoChoNgoi,HopSo,DanDong,Hang,Grade,NamSanXuat,LoaiDongCo,DungTich,Gia
0,0,3,0,4,2,5,5,1,3,9,62,2023,1,1.4,622
0,0,2,0,6,2,5,7,1,3,3,6,2023,1,1.5,1118
0,0,2,0,2,4,5,7,1,3,3,6,2023,1,1.5,998
0,0,3,0,5,2,5,8,1,4,2,3,2023,1,2,845
1,0,2,0,6,3,5,5,1,3,2,4,2023,4,1.8,936
0,0,5,0,4,2,4,5,1,3,8,63,2023,1,2,789
1,0,5,0,4,2,4,5,1,3,8,51,2023,1,1.5,426
1,0,2,0,5,2,5,5,1,3,2,4,2023,1,1.8,860
1,0,2,0,1,3,5,5,1,3,2,4,2023,1,1.8,846
1,0,2,0,6,3,5,5,1,3,2,4,2023,1,1.8,846
1,0,2,0,6,5,5,5,1,3,2,4,2022,1,1.8,860
1,0,7,0,4,2,5,5,1,3,1,64,2022,1,1.6,695
1,0,7,0,4,2,5,5,1,3,1,64,2022,1,1.6,695
1,0,7,0,6,3,5,5,1,3,1,64,2022,1,1.6,695
1,0,2,0,5,3,5,5,1,3,2,4,2023,1,1.8,846
1,0,2,0,1,5,5,5,1,3,2,4,2023,4,1.8,955
0,0,2,0,1,2,5,7,1,4,2,7,2023,2,2.4,1267
1,0,2,0,5,6,5,7,1,2,1,65,2022,1,2,1929
1,0,2,0,2,6,5,7,1,2,1,65,2022,1,2,1749
1,0,2,0,2,2,5,5,1,3,2,4,2023,1,1.8,846
1,0,2,0,1,3,5,5,1,3,2,4,2023,1,1.8,846
1,0,2,0,6,3,5,5,1,3,2,4,2023,1,1.8,860
1,0,2,0,4,2,5,7,1,3,1,57,2022,1,1.5,540
0,0,2,0,4,2,5,7,1,3,3,6,2023,1,1.5,148
1,0,2,0,5,3,5,5,1,3,2,4,2023,1,1.8,846
0,0,2,0,2,2,5,5,1,3,8,38,2023,1,2,814
1,0,2,0,5,3,5,5,1,3,2,4,2023,1,1.8,811
0,0,5,0,5,2,4,5,1,3,8,23,2022,1,1.5,614
0,0,2,0,6,2,5,5,1,3,8,38,2022,1,2,754
1,0,2,0,5,3,5,5,1,3,2,4,2023,1,1.8,846
1,0,2,0,5,3,5,5,1,3,2,4,2022,1,1.8,846
1,0,2,0,1,3,5,7,1,2,1,17,2022,1,2,450
0,0,5,0,5,2,4,5,1,4,1,59,2022,1,2,881
0,0,2,0,2,2,5,7,1,3,3,6,2022,1,1.5,13
0,0,2,0,2,2,5,7,1,3,3,6,2022,1,1.5,148
0,0,2,0,1,2,5,7,1,3,3,6,2022,1,1.5,13
1,0,5,0,1,2,4,5,1,3,8,51,2022,1,1.5,490
0,0,2,0,5,2,5,5,1,3,8,38,2022,1,2,819
1,0,2,0,4,2,5,7,1,3,1,57,2022,1,1.5,599
0,0,2,0,2,2,5,7,1,3,5,14,2023,1,2,825
0,0,2,0,2,2,5,7,1,3,5,14,2023,1,2,950
0,0,2,0,1,2,5,7,0,4,2,7,2023,2,2.4,126
0,0,2,0,3,2,5,7,1,4,2,7,2023,2,2.4,1118
0,0,2,0,1,2,5,7,0,4,2,7,2023,2,2.4,126
0,0,2,0,3,2,5,7,1,4,2,7,2023,2,2.4,1118
0,0,2,0,3,2,5,7,1,4,2,7,2023,2,2.4,1118
0,0,6,0,4,2,4,5,1,1,4,8,2023,2,2,972
0,0,6,0,3,2,4,5,1,1,4,8,2023,2,2,965
1,0,2,0,1,2,5,7,1,4,4,12,2023,2,2,1185
1,0,2,0,5,2,5,7,1,4,4,12,2023,2,2,1306
1,0,2,0,2,2,5,7,1,2,4,49,2023,1,2.3,2439
1,0,2,0,3,2,5,7,1,4,4,12,2023,2,2,199
0,0,6,0,1,2,4,5,1,1,4,8,2023,2,2.2,756
0,0,4,0,3,4,4,6,0,4,4,9,2023,2,2.2,849
0,0,2,0,5,4,5,7,1,3,9,66,2022,2,2.2,1179
1,0,2,0,6,2,5,7,1,4,4,12,2023,2,2,1178
1,0,2,0,2,2,5,7,1,3,1,57,2022,1,1.5,599
0,0,2,0,3,2,5,7,1,4,2,7,2023,2,2.4,148
0,0,2,0,3,2,5,7,1,4,2,7,2022,2,2.4,1107
1,0,2,0,1,3,5,5,1,3,2,4,2023,4,1.8,936
0,0,2,0,6,5,5,7,1,2,9,66,2023,2,2.2,1349
1,0,7,0,1,2,5,5,1,3,1,35,2023,1,1.2,559
1,0,5,0,5,2,4,5,1,3,1,32,2022,1,1.4,534
0,0,2,0,1,2,5,7,0,4,2,7,2023,2,2.4,126
0,0,2,0,2,2,5,7,1,4,2,7,2023,2,2.4,1118
0,0,2,0,5,2,5,7,1,4,1,60,2022,1,2,1168
0,0,2,0,1,2,5,7,1,4,1,60,2022,1,2,170
0,0,5,0,1,2,4,5,1,4,1,59,2022,1,2,16
0,0,2,0,1,6,5,7,1,4,2,7,2023,2,2.4,1195
1,0,6,0,5,2,4,5,1,4,5,50,2022,2,2.4,650
1,0,2,0,2,2,5,7,1,4,5,34,2022,2,2.4,1130
1,0,2,0,1,2,5,7,1,1,5,34,2022,2,2.4,1365
1,0,7,0,4,4,5,5,1,3,2,13,2023,1,1.5,684
0,0,5,0,1,2,4,5,1,3,8,23,2022,1,1.5,604
0,0,5,0,1,2,4,5,1,3,8,23,2022,1,1.5,631
0,0,2,0,6,2,5,5,1,3,8,38,2023,1,2,794
0,0,3,0,1,3,5,8,0,4,2,3,2023,1,2,755
1,0,7,0,6,4,5,5,1,3,2,13,2023,1,1.5,684
1,0,2,0,1,2,5,7,1,4,5,34,2022,2,2.4,1130
0,0,3,0,4,2,5,8,1,4,2,3,2023,1,2,870
0,0,2,0,1,2,5,7,1,1,2,7,2023,2,2.8,1470
1,0,2,0,6,2,5,5,1,3,2,4,2023,1,1.8,860
0,0,2,0,4,1,5,7,1,2,9,66,2023,2,2.2,1264
0,0,5,0,1,2,4,5,1,3,8,23,2023,1,1.5,629
1,0,7,0,5,5,5,5,1,3,8,51,2023,1,1.5,517
0,1,3,62000,4,1,5,8,0,4,2,3,2016,1,2,368
0,0,5,0,2,2,4,5,1,4,1,59,2022,1,2,881
0,0,5,0,1,2,4,5,1,4,1,59,2022,1,2,881
0,0,5,0,4,3,4,5,1,4,1,59,2022,1,2,174
0,0,3,0,3,3,5,8,0,4,2,3,2023,1,2,755
1,0,7,0,6,3,6,5,1,3,1,67,2022,1,2,2629
1,0,6,0,1,2,4,5,1,4,5,50,2022,2,2.4,650
0,0,3,0,3,2,5,8,0,4,2,3,2023,1,2,755
0,0,2,0,1,5,5,7,1,4,2,7,2022,2,2.4,1159
1,0,2,0,1,2,5,5,1,3,2,4,2022,4,1.8,955
0,0,5,0,4,4,4,5,1,3,2,11,2023,1,1.5,542
1,0,7,0,5,4,5,5,1,3,2,13,2023,1,1.5,668
0,0,3,0,3,2,5,8,0,4,2,3,2022,1,2,755
1,0,7,0,4,4,5,5,1,3,2,13,2023,1,1.5,684
0,0,2,0,1,2,5,7,1,3,5,14,2022,1,2,950
0,0,3,0,4,3,5,8,0,4,2,3,2022,1,2,755
0,0,2,0,4,2,5,7,1,4,2,7,2023,2,2.4,110
1,0,5,0,2,2,4,5,1,3,3,61,2023,1,1.5,1319
0,0,3,0,1,3,5,8,1,4,2,3,2023,1,2,870
0,0,2,0,3,2,5,7,1,4,2,7,2022,2,2.4,1248
1,0,7,0,5,4,5,5,1,3,2,13,2023,1,1.5,684
0,0,3,0,1,3,5,8,1,4,2,3,2023,1,2,870
1,0,7,0,5,4,5,5,1,3,2,13,2023,1,1.5,684
0,0,2,0,2,1,5,7,0,4,2,7,2023,2,2.4,126
0,0,2,0,3,2,5,7,1,4,2,7,2023,2,2.4,1118
0,0,3,0,1,2,5,8,1,4,2,3,2023,1,2,870
0,0,3,0,3,2,5,8,0,4,2,3,2023,1,2,755
1,0,2,0,1,3,5,7,1,2,1,17,2022,4,2,4650
1,0,2,0,3,1,5,7,0,3,5,15,2023,1,1.5,555
1,0,6,0,1,1,4,5,1,1,2,31,2022,2,2.8,913
0,0,3,0,6,2,5,5,1,3,1,68,2023,1,1.6,1109
0,0,3,0,4,2,5,5,1,3,1,68,2023,1,1.6,1109
0,0,3,0,2,2,5,5,1,3,1,68,2023,1,1.6,1109
0,0,3,0,6,2,5,5,1,3,1,68,2023,1,1.6,1109
0,0,3,0,1,2,5,5,1,3,1,68,2023,1,1.6,1109
0,0,3,0,6,2,5,5,1,3,1,68,2023,1,1.6,1109
0,0,3,0,4,3,5,5,1,3,1,68,2023,1,1.6,1199
0,0,2,0,5,2,5,7,1,3,1,69,2023,1,1.6,1179
0,0,2,0,2,2,5,7,1,3,1,69,2023,1,1.6,1179
0,0,2,0,4,2,5,7,1,3,1,69,2023,1,1.6,1179
0,0,2,0,6,5,5,7,1,3,1,69,2023,1,1.6,1309
0,0,3,0,1,2,5,5,1,3,1,68,2023,1,1.6,1109
0,0,7,0,4,2,5,5,1,3,9,70,2022,1,1.25,439
0,0,7,0,1,2,5,5,1,3,9,70,2022,1,1.25,444
0,0,2,0,5,2,5,5,1,3,8,38,2022,1,2,759
0,0,2,0,4,2,5,7,1,3,8,47,2022,1,2.5,999
0,0,5,0,5,2,4,5,1,3,8,23,2022,1,1.5,739
1,0,2,0,6,2,5,7,1,4,4,12,2023,2,2,1178
1,0,7,0,4,4,5,5,1,3,2,13,2023,1,1.5,684
0,0,5,0,1,4,4,5,1,3,6,24,2023,1,1.4,500
0,0,5,0,1,4,4,5,1,3,6,24,2023,1,1.4,525
0,0,5,0,1,6,4,5,1,3,6,24,2022,1,1.4,488
0,0,5,0,1,6,4,5,1,3,6,24,2022,1,1.4,461
